澳门元,88.88,85.9,89.23,92.2,88.6,2023.06.19 16:30:46
澳门元,88.88,85.9,89.23,92.2,88.6,2023.06.19 16:28:30
澳门元,88.88,85.9,89.23,92.2,88.6,2023.06.19 16:17:06
澳门元,88.88,85.9,89.23,92.2,88.6,2023.06.19 16:14:05
澳门元,88.89,85.91,89.24,92.21,88.6,2023.06.19 16:09:37
澳门元,88.86,85.88,89.21,92.18,88.6,2023.06.19 16:07:37
澳门元,88.86,85.88,89.21,92.18,88.6,2023.06.19 16:05:57
澳门元,88.84,85.86,89.19,92.16,88.6,2023.06.19 16:02:38
澳门元,88.83,85.85,89.18,92.15,88.6,2023.06.19 15:57:28
澳门元,88.83,85.85,89.18,92.15,88.6,2023.06.19 15:54:12
澳门元,88.84,85.86,89.19,92.16,88.6,2023.06.19 15:53:19
澳门元,88.83,85.85,89.18,92.15,88.6,2023.06.19 15:51:16
澳门元,88.82,85.84,89.17,92.14,88.6,2023.06.19 15:48:13
澳门元,88.81,85.83,89.16,92.13,88.6,2023.06.19 15:47:08
澳门元,88.79,85.81,89.14,92.11,88.6,2023.06.19 15:41:42
澳门元,88.78,85.8,89.13,92.1,88.6,2023.06.19 15:40:12
澳门元,88.8,85.82,89.15,92.12,88.6,2023.06.19 15:39:22
澳门元,88.81,85.83,89.16,92.13,88.6,2023.06.19 15:36:13
澳门元,88.84,85.86,89.19,92.16,88.6,2023.06.19 15:35:34
澳门元,88.85,85.87,89.2,92.17,88.6,2023.06.19 15:34:21
荷兰盾,458.83259,2005.09.02 06:36:44
荷兰盾,453.7073,2005.09.01 06:33:44
荷兰盾,448.99264,2005.08.31 06:55:29
荷兰盾,449.23627,2005.08.30 06:52:24
荷兰盾,451.5201,2005.08.29 04:22:31
荷兰盾,452.05726,2005.08.26 06:40:51
荷兰盾,451.06314,2005.08.25 06:41:05
荷兰盾,449.57651,2005.08.24 06:38:22
荷兰盾,450.11494,2005.08.23 06:44:05
荷兰盾,447.49054,2005.08.22 06:45:01
荷兰盾,447.50862,2005.08.19 06:29:41
荷兰盾,451.2575,2005.08.18 06:39:06
荷兰盾,453.83998,2005.08.17 06:43:48
荷兰盾,454.27255,2005.08.16 06:29:47
荷兰盾,457.63028,2005.08.15 06:48:37
荷兰盾,458.3611,2005.08.12 06:40:16
